                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.75809,                0.65808,                 1.1911,                0.91159,                0.86957,                0.91506,                0.58242,                 1.2467,                0.86894,                 1.6461,               0.001406,               0.001406,               0.001406
                     62,                0.74633,                0.73053,                 1.2185,                0.89545,                0.86957,                0.90844,                0.51153,                 1.3502,                0.92333,                 1.7526,              0.0013961,              0.0013961,              0.0013961
                     63,                0.78074,                0.69083,                 1.2027,                0.94991,                0.82464,                0.92638,                0.65608,                 1.2317,                0.72244,                 1.6894,              0.0013862,              0.0013862,              0.0013862
                     64,                 0.7268,                0.67024,                 1.1801,                0.85785,                0.86957,                0.91749,                0.69493,                  1.098,                0.64117,                 1.5743,              0.0013763,              0.0013763,              0.0013763
                     65,                0.67889,                 0.6234,                 1.1704,                0.90755,                0.85411,                0.92033,                0.64413,                 1.1315,                 0.7358,                 1.4734,              0.0013664,              0.0013664,              0.0013664
                     66,                0.68567,                0.61908,                 1.1616,                0.96396,                0.91304,                0.94201,                0.64247,                 1.1753,                0.74927,                 1.5329,              0.0013565,              0.0013565,              0.0013565
                     67,                0.72561,                0.64618,                 1.1995,                0.90197,                0.86957,                0.90939,                0.66193,                 1.0712,                0.74486,                 1.4852,              0.0013466,              0.0013466,              0.0013466
                     68,                0.67796,                0.62527,                 1.1474,                0.94857,                0.95652,                  0.952,                0.66864,                 1.1468,                0.78022,                 1.5076,              0.0013367,              0.0013367,              0.0013367
                     69,                0.66191,                0.60932,                 1.1459,                0.91582,                0.94636,                0.94497,                 0.6397,                 1.2166,                0.78317,                 1.5932,              0.0013268,              0.0013268,              0.0013268
                     70,                0.73999,                0.64107,                 1.1932,                0.91599,                0.94844,                0.91702,                0.60122,                 1.2007,                0.77436,                 1.5946,              0.0013169,              0.0013169,              0.0013169
                     71,                0.71281,                0.60209,                 1.1608,                0.94448,                0.86957,                0.94333,                0.63006,                 1.1923,                0.72134,                 1.5852,               0.001307,               0.001307,               0.001307
                     72,                 0.7033,                0.61709,                 1.1848,                 0.8101,                0.95652,                 0.9324,                 0.6066,                 1.2613,                0.75767,                 1.6189,              0.0012971,              0.0012971,              0.0012971
                     73,                0.71152,                0.61235,                 1.1817,                0.91584,                 0.9466,                0.95311,                0.61884,                 1.2589,                 0.7044,                 1.5841,              0.0012872,              0.0012872,              0.0012872
                     74,                0.66165,                 0.6432,                 1.1159,                0.91249,                0.90698,                0.93802,                0.60837,                 1.2272,                0.79961,                 1.5749,              0.0012773,              0.0012773,              0.0012773
                     75,                0.67613,                0.60903,                 1.1282,                0.89714,                0.86957,                0.90967,                0.62872,                 1.1767,                0.83543,                 1.5432,              0.0012674,              0.0012674,              0.0012674
                     76,                0.64149,                0.56808,                 1.1211,                0.95439,                0.90984,                0.93726,                0.60873,                 1.2173,                0.77681,                 1.6196,              0.0012575,              0.0012575,              0.0012575
                     77,                0.68685,                0.56978,                 1.1436,                0.97362,                0.82609,                0.93644,                0.63898,                 1.1616,                0.74418,                 1.6069,              0.0012476,              0.0012476,              0.0012476
                     78,                0.71261,                0.61442,                 1.1837,                0.94732,                0.82609,                0.93698,                0.65336,                 1.1383,                0.70114,                 1.6051,              0.0012377,              0.0012377,              0.0012377
                     79,                0.69389,                0.60366,                 1.1621,                0.94779,                0.78964,                0.90726,                0.65995,                 1.1428,                0.80219,                 1.5732,              0.0012278,              0.0012278,              0.0012278
                     80,                0.64089,                0.54383,                 1.1167,                0.85115,                0.82609,                0.87884,                0.59757,                 1.2148,                0.83544,                 1.6293,              0.0012179,              0.0012179,              0.0012179
                     81,                 0.6575,                0.56853,                 1.1362,                0.82251,                0.91304,                0.91598,                0.63347,                 1.1659,                0.82136,                 1.6304,               0.001208,               0.001208,               0.001208
                     82,                0.67452,                0.56115,                 1.1729,                 0.9319,                0.86957,                0.95196,                0.63785,                 1.2214,                0.80304,                 1.6803,              0.0011981,              0.0011981,              0.0011981
                     83,                0.66536,                0.59905,                 1.1598,                0.94773,                0.78866,                0.92568,                0.65155,                  1.187,                0.74228,                 1.5846,              0.0011882,              0.0011882,              0.0011882
                     84,                0.69882,                0.58795,                   1.15,                      1,                0.86185,                0.94707,                0.69815,                 1.0973,                 0.6653,                 1.5416,              0.0011783,              0.0011783,              0.0011783
                     85,                0.64217,                0.58543,                 1.1307,                0.99425,                0.91304,                0.96473,                0.68073,                 1.0521,                0.61935,                 1.5276,              0.0011684,              0.0011684,              0.0011684
                     86,                0.65631,                0.56804,                 1.1467,                      1,                 0.9079,                0.96653,                0.67239,                 1.0626,                0.61873,                 1.5527,              0.0011585,              0.0011585,              0.0011585
                     87,                 0.6136,                0.53051,                 1.0996,                0.94911,                0.86957,                 0.9393,                0.62585,                 1.2437,                0.71741,                 1.7094,              0.0011486,              0.0011486,              0.0011486
                     88,                0.63153,                0.52777,                 1.0903,                0.95453,                0.91304,                0.94196,                0.60644,                 1.2664,                0.73622,                 1.7161,              0.0011387,              0.0011387,              0.0011387
                     89,                 0.6963,                0.59549,                 1.1691,                0.95218,                0.86594,                0.93009,                0.63578,                 1.1857,                0.68083,                 1.6872,              0.0011288,              0.0011288,              0.0011288
                     90,                0.60082,                0.53936,                 1.1235,                0.97988,                0.78261,                0.89969,                0.63663,                 1.1442,                 0.7182,                 1.6159,              0.0011189,              0.0011189,              0.0011189
                     91,                0.60765,                0.54772,                 1.1055,                0.94633,                0.78261,                0.91882,                0.63115,                 1.2008,                0.75868,                  1.622,               0.001109,               0.001109,               0.001109
